mass_A
t	x	y	v_{x}	v_{y}	a_{y}
9.009000000E-1	2.669505879E1	3.054647578E1			
9.342666667E-1	3.693482526E1	4.393693962E1	2.856401465E2	3.659026670E2	
9.676333333E-1	4.575677791E1	5.496438043E1	2.761974971E2	3.092467702E2	-1.435196473E3
1.001000000E0	5.536640490E1	6.457400742E1	2.738368347E2	2.714761723E2	-8.692034978E2
1.034366667E0	6.403082267E1	7.308089033E1	2.785581594E2	2.502302110E2	-6.468491147E2
1.067733333E0	7.395551940E1	8.127270350E1	2.974434584E2	2.313449121E2	-1.010701742E3
1.101100000E0	8.388021613E1	8.851930746E1	2.785581594E2	1.841316647E2	-1.455410508E3
1.134466667E0	9.254463391E1	9.356042326E1	2.667548476E2	1.298364302E2	-1.273484195E3
1.167833333E0	1.016816563E2	9.718372524E1	2.785581594E2	9.914781945E1	-8.489894630E2
1.201200000E0	1.111337484E2	1.001768877E2	2.809188218E2	7.554119577E1	-1.010701742E3
1.234566667E0	1.204283057E2	1.022248410E2	2.761974971E2	3.304927315E1	-1.091557881E3
1.267933333E0	1.295653280E2	1.023823759E2	2.714761723E2	-2.360662368E0	-1.030915777E3
1.301300000E0	1.385448156E2	1.020673062E2	2.738368347E2	-3.068861078E1	-9.096315675E2
1.334666667E0	1.478393728E2	1.003344226E2	2.738368347E2	-6.609854630E1	-1.091557881E3
1.368033333E0	1.568188603E2	9.765632984E1	2.691155099E2	-1.015084818E2	-1.071343846E3
1.401400000E0	1.657983478E2	9.356042326E1	2.738368347E2	-1.392790797E2	-1.071343846E3
1.434766667E0	1.750929051E2	8.836177259E1	2.738368347E2	-1.723283529E2	-9.904877068E2
1.468133333E0	1.840723926E2	8.206037784E1	2.761974971E2	-2.053776260E2	-1.152199986E3
1.501500000E0	1.935244847E2	7.465623901E1	2.573121981E2	-2.478695486E2	-9.904877068E2
1.534866667E0	2.012436933E2	6.551921663E1	2.714761723E2	-2.761974971E2	-1.030915777E3
1.568233333E0	2.116409946E2	5.622465938E1	2.998041207E2	-3.092467702E2	
1.601600000E0	2.212506216E2	4.488214883E1			
